city,street,count
Ahwatukee,E Warner Rd,1.0
Anthem,W Anthem Wy,2.0
Apache Junction,W Apache Trl,1.0
Avondale,W Rancho Santa Fe Blvd,7.0
Buckeye,W Main St,1.0
Carefree,N Tom Darlington Dr,2.0
Casa Grande,W Florence Blvd.,1.0
Cave Creek,E Rancho Manana Blvd,7.0
Chandler,W.Chandler Blvd.,14.0
Florence,N Pinal Pkwy,1.0
Fountain Hills,N Fountain Hills Blvd,1.0
Gila Bend,E Pima St,1.0
Gilbert,W Warner Rd,6.0
Glendale,W. Olive Ave,10.0
Gold Canyon,S Superstition Mountain Dr,1.0
Goodyear,W McDowell Rd,2.0
Guadalupe,S Avenida Del Yaqui,2.0
Litchfield Park,W Indian School Rd,1.0
Maricopa,W Smith Enke Rd,1.0
Mesa,W University Dr,8.0
North Scottsdale,N Pima Rd,1.0
Paradise Valley,N Scottsdale Rd,3.0
Peoria,W Union Hills Dr # 101,2.0
Phoenix,W. Peoria Ave,30.0
Queen Creek,W Combs Rd,2.0
San Tan Valley,E Hunt Hwy,1.0
Scottsdale,North Scottsdale Rd,55.0
Sun City,N Reems Rd,1.0
Sun Lakes,E Riggs Rd,1.0
Surprise,W Greenway Rd,5.0
Tempe,W Washington St,15.0
Tolleson,W Van Buren Street,1.0
Wickenburg,W Wickenburg Way,1.0
