WORD,FREQUENCY
subject,116999
date,64276
cc,62562
pm,48595
enron,39210
please,36606
pdt,30618
would,29408
pst,27505
forwarded,27034
thanks,25645
j,23464
know,23210
mark,21597
may,20766
jeff,17694
get,17083
kay,16842
john,16678
agreement,16594
new,15836
need,15725
call,15582
let,15370
power,14923
time,14771
sara,14742
vince,14187
one,14053
like,14003
energy,13967
gas,13866
wed,12871
also,12840
tue,12825
message,12669
us,12579
david,12578
attached,12438
meeting,12038
information,11962
mon,11844
sent,11616
deal,11565
see,11409
thu,11334
could,11078
corp,10786
think,10646
houston,10517
